fold,era,test_return_pct,test_profit_factor,test_sharpe_trade,test_max_dd_mtm_pct,test_n_trades,win_rate_pct,fold_metric
11,2,22.01684104110484,1.3827734347696994,2.6693079879060715,-7.5402538882388015,246.0,52.84552845528455,2.9199071234784877
12,2,3.4618047378473626,1.0563716497395765,0.5182906965219496,-7.378789960540654,240.0,48.333333333333336,0.4691561565459862
13,3,11.790868900973429,1.2288169191255427,1.71033196859014,-8.208859384552502,244.0,49.59016393442623,1.4363589810250106
14,3,6.21094126298547,1.109828303519812,0.869683615044094,-6.879195110389502,223.0,48.87892376681614,0.9028587157827835
15,3,-3.8043105204118355,0.9326199482322244,-0.5146929666706634,-10.13663118051593,228.0,46.05263157894737,-0.3753032395737422
16,3,-12.054490250272575,0.8219306599679984,-1.662887064820011,-18.76363777280342,252.0,46.03174603174603,-0.6424388701291557
17,3,6.723128364383202,1.1005279357203084,0.8624657365342416,-14.111802761194847,263.0,47.52851711026616,0.47641881608994047
18,3,-10.925262544566417,0.8122767159168173,-1.6877081729244405,-14.423048696505159,236.0,43.64406779661017,-0.7574863521894446
19,4,10.241320319634495,1.175863828143491,1.325769158621558,-13.59145246237603,244.0,50.0,0.7535118375305805
20,4,1.8240746883649184,1.0350379750989276,0.36232420071185695,-8.811344888794059,225.0,50.66666666666667,0.20701433338339856
21,4,9.416528524555945,1.1976124582580578,1.4854751663044383,-9.167857466625284,215.0,47.906976744186046,1.0271242281891841
22,4,6.661437302948081,1.1266332846697757,1.016689346179204,-8.022337404450264,226.0,52.21238938053098,0.8303611487660385
23,4,6.918047500515723,1.1243091541440384,1.0724413610998778,-9.039604931465483,235.0,50.212765957446805,0.7653041867388536
24,4,-16.365620525781377,0.7215390558676755,-2.802589582171795,-19.99186076163625,237.0,47.67932489451477,-0.8186141710823881
25,4,34.23055154157806,1.5582697269987364,3.4771750170815974,-6.070537877028737,246.0,54.87804878048781,5.638800421805855
