fold,era,test_return_pct,test_profit_factor,test_sharpe_trade,test_max_dd_mtm_pct,test_n_trades,win_rate_pct,fold_metric
11,2,21.804722830104772,1.4012890828919176,2.6690497876714074,-6.966088834300754,246.0,52.84552845528455,3.1301241412166827
12,2,3.429855479976207,1.055865344656468,0.5182893073184272,-7.377406052753299,240.0,48.333333333333336,0.4649134743906581
13,3,11.83790653704666,1.22987385514842,1.7103312885159316,-8.194391781019906,244.0,49.59016393442623,1.4446351667570951
14,3,6.166033095693124,1.1090763418244838,0.8696796234936851,-6.879196408096155,223.0,48.87892376681614,0.8963304330773714
15,3,-3.5942945345920463,0.9361798567289974,-0.5146966272258636,-9.94067757810717,228.0,46.05263157894737,-0.361574400371654
16,3,-11.704604598289025,0.8230042864869385,-1.663020634400515,-18.76363777280342,252.0,46.03174603174603,-0.6237918648831534
17,3,6.3282617578664935,1.1041949240818885,0.8620207220904968,-12.987036317343692,263.0,47.52851711026616,0.48727527999712617
18,3,-6.089745633440858,0.8515426073489925,-1.6901160768362462,-8.482868967028523,236.0,43.64406779661017,-0.7178875044646651
19,4,9.54356499196749,1.2208333399074778,1.3241904195605505,-11.978417347702841,244.0,50.0,0.7967300449585442
20,4,0.1535978346237421,1.0033701447599181,0.3615405407392626,-8.263324269602546,225.0,50.66666666666667,0.018587898721192257
21,4,9.141342446874724,1.203593443578643,1.4850907139790204,-8.52474213021458,215.0,47.906976744186046,1.0723306707982054
22,4,4.354659583684262,1.0990048432553294,1.0158088833773478,-7.177704237392968,226.0,52.21238938053098,0.6066925356158069
23,4,7.083771711070286,1.145377957213826,1.0718243094179354,-7.050530361969065,235.0,50.212765957446805,1.0047147302961101
24,4,-14.330062906703445,0.7226099088315958,-2.8032495937302015,-17.603957286005965,237.0,47.67932489451477,-0.8140250895799969
25,4,32.25191213400191,1.564871167980443,3.4769799591888932,-6.070538406122328,246.0,54.87804878048781,5.312858592818531
