fold,era,test_return_pct,test_profit_factor,test_sharpe_trade,test_max_dd_mtm_pct,test_n_trades,win_rate_pct,fold_metric
11,2,20.64471193249282,1.3534658329283125,2.3720658357995354,-7.1429716959497185,241.0,54.77178423236515,2.8902133189466506
12,2,6.539593940672916,1.1133632350398481,0.9027196537072504,-7.798936633383391,237.0,49.36708860759494,0.8385237947286491
13,3,12.514673204192462,1.2471804700695455,1.7630561485572294,-6.715932961492232,239.0,50.627615062761514,1.8634303343927052
14,3,9.447700060440468,1.172661354346202,1.260844719781056,-7.952381015508225,219.0,49.31506849315068,1.1880341299060202
15,3,-4.818400460243888,0.9115959100455561,-0.6536826258146566,-9.055402817348945,222.0,45.94594594594595,-0.532102277218687
16,3,-13.288215011166482,0.8107401756848409,-1.6151152659818806,-20.28628329792409,241.0,46.47302904564315,-0.6550344790130321
17,3,5.181888311738558,1.0792850025520608,0.672844532882499,-17.28469858242666,258.0,47.674418604651166,0.29979627860025165
18,3,-8.700652854073375,0.8401492035267121,-1.318660939676508,-12.357834183206895,229.0,43.66812227074236,-0.7040596859518251
19,4,15.029503665565525,1.2715468149055222,1.8671556102275184,-12.957286605811447,237.0,50.63291139240506,1.1599267750104927
20,4,3.8887247542375825,1.077765384373524,0.6820134769895352,-6.944641099632653,221.0,50.678733031674206,0.5599605074541983
21,4,6.355584448490981,1.1289405425333872,0.9755708417177665,-11.740783078357486,213.0,48.35680751173709,0.541325430005314
22,4,5.5997649158745055,1.1064435278480929,0.8553705703995895,-9.27844530980928,222.0,51.80180180180181,0.6035240526723123
23,4,8.752494657159238,1.1643946974150683,1.3160877020558117,-8.77599807263384,231.0,51.082251082251084,0.9973218527077972
24,4,-11.445144236210181,0.7975459469645992,-1.7213086421546278,-13.688448600057168,232.0,49.137931034482754,-0.8361169750209956
25,4,39.49816171833458,1.6729321018513228,3.92179554801322,-6.125444038810091,241.0,56.016597510373444,6.44821199378835
