fold,era,feature,ic_oos
1,1,close_ema20_atr,0.030901277334327584
1,1,close_ema50_atr,0.039816229519186806
1,1,close_ema200_atr,0.03080298270841033
1,1,ema20_ema50_atr,0.042103196737065064
1,1,macd_hist_atr,0.015810220876488906
1,1,roc20_atr,0.07501260015012083
1,1,atr_close,-0.014504913765809157
1,1,atr_fast_slow,-0.02000926071312281
1,1,bb_width_close,0.026450081393820983
1,1,range_atr,-0.01862450092840025
1,1,upper_wick_ratio,0.0025278998817043507
1,1,lower_wick_ratio,-0.02672711309595861
1,1,ret1_atr,-0.018815172095210695
1,1,ret2_atr,-0.013156415088564844
1,1,ret3_atr,-0.014036209864869625
1,1,ret4_atr,-0.015058092766743737
1,1,ret5_atr,-0.00976490614081803
1,1,tod_sin,0.00036241011660450017
1,1,tod_cos,0.07644905305558908
1,1,dow_sin,-0.046717117468485427
1,1,dow_cos,0.002841108389142916
1,1,session_asia,0.05126681724816323
1,1,session_london,-0.07646829108048486
1,1,session_newyork,-0.0042328313333857785
1,1,session_london_ny_overlap,-0.01851374410457358
2,1,close_ema20_atr,-0.023671518060791492
2,1,close_ema50_atr,-0.022741350825910136
2,1,close_ema200_atr,-0.034391117082365204
2,1,ema20_ema50_atr,-0.019187163423996442
2,1,macd_hist_atr,0.013234543563769064
2,1,roc20_atr,0.016012334341693316
2,1,atr_close,0.06746117059157922
2,1,atr_fast_slow,0.01638528629633953
2,1,bb_width_close,0.036994045650932665
2,1,range_atr,0.03285930205013039
2,1,upper_wick_ratio,0.033477491890417696
2,1,lower_wick_ratio,-0.02072674336327308
2,1,ret1_atr,-0.03906394807601341
2,1,ret2_atr,-0.04618474551168526
2,1,ret3_atr,-0.048400070901351434
2,1,ret4_atr,-0.03965784385377505
2,1,ret5_atr,-0.025893593117766112
2,1,tod_sin,-0.07885988963057351
2,1,tod_cos,-0.02948460604458322
2,1,dow_sin,-0.0654339251739404
2,1,dow_cos,-0.05216892708940523
2,1,session_asia,-0.06265828857503103
2,1,session_london,0.0341948023224226
2,1,session_newyork,0.05778638190306849
2,1,session_london_ny_overlap,0.07732524746500569
3,1,close_ema20_atr,-0.006937392457639394
3,1,close_ema50_atr,-0.047566888818339384
3,1,close_ema200_atr,-0.05167537973050428
3,1,ema20_ema50_atr,-0.08293855519391656
3,1,macd_hist_atr,0.08019358639939676
3,1,roc20_atr,-0.007354756355717322
3,1,atr_close,0.020434346180173618
3,1,atr_fast_slow,-0.013680871882210288
3,1,bb_width_close,0.040850116575668206
3,1,range_atr,-0.03317500611598393
3,1,upper_wick_ratio,0.0044311240187331884
3,1,lower_wick_ratio,0.0022299781347805184
3,1,ret1_atr,-0.03797727080100459
3,1,ret2_atr,-0.018459646287080404
3,1,ret3_atr,-0.011358018275471147
3,1,ret4_atr,0.01571664289005901
3,1,ret5_atr,0.020984715835611734
3,1,tod_sin,0.0324384534560609
3,1,tod_cos,0.06633993243682859
3,1,dow_sin,0.013693944139218128
3,1,dow_cos,-0.001956381529456104
3,1,session_asia,0.056192167695096024
3,1,session_london,-0.04371309699617559
3,1,session_newyork,-0.0632341173424247
3,1,session_london_ny_overlap,-0.026040369048118045
4,1,close_ema20_atr,-0.019338877063555058
4,1,close_ema50_atr,-0.025312948839800724
4,1,close_ema200_atr,-0.036055953126884296
4,1,ema20_ema50_atr,-0.0257858608405107
4,1,macd_hist_atr,0.03266998648238528
4,1,roc20_atr,-0.014362184113840298
4,1,atr_close,0.08168889455659531
4,1,atr_fast_slow,0.05625525056086743
4,1,bb_width_close,0.04479927707035374
4,1,range_atr,-0.03300394753671525
4,1,upper_wick_ratio,-0.023658407130608627
4,1,lower_wick_ratio,-0.005347368853585335
4,1,ret1_atr,-0.007637025306560372
4,1,ret2_atr,-0.016294945329053727
4,1,ret3_atr,-0.01925285337283295
4,1,ret4_atr,-0.026049271019282533
4,1,ret5_atr,-0.018256308087133393
4,1,tod_sin,-0.1282510273467749
4,1,tod_cos,0.09165262708224502
4,1,dow_sin,-0.02441052764066136
4,1,dow_cos,0.02463556936886905
4,1,session_asia,-0.015538399369602107
4,1,session_london,-0.08534248926924595
4,1,session_newyork,0.05292272910967429
4,1,session_london_ny_overlap,-0.028338632866663428
5,1,close_ema20_atr,-0.050906548162248065
5,1,close_ema50_atr,-0.052019762342569296
5,1,close_ema200_atr,-0.04143037683765196
5,1,ema20_ema50_atr,-0.04974751318632798
5,1,macd_hist_atr,-0.014106814670211819
5,1,roc20_atr,-0.07812573251253657
5,1,atr_close,0.056260363291745656
5,1,atr_fast_slow,0.03779169269955631
5,1,bb_width_close,-0.017637017362117643
5,1,range_atr,-0.019531672520412862
5,1,upper_wick_ratio,0.014995808866172302
5,1,lower_wick_ratio,0.01520250266531046
5,1,ret1_atr,-0.028721836083976188
5,1,ret2_atr,-0.045777460611339485
5,1,ret3_atr,-0.052777591447694595
5,1,ret4_atr,-0.05005196003842285
5,1,ret5_atr,-0.060959435528416976
5,1,tod_sin,-0.07784056601559526
5,1,tod_cos,-0.007939914739964013
5,1,dow_sin,-0.016353320373542278
5,1,dow_cos,-0.04585245392836568
5,1,session_asia,-0.031704666503516735
5,1,session_london,0.013883788531067698
5,1,session_newyork,0.02229384782699536
5,1,session_london_ny_overlap,0.033620013126616076
6,1,close_ema20_atr,-0.009905378929943132
6,1,close_ema50_atr,0.005163713658398866
6,1,close_ema200_atr,0.010163458736123399
6,1,ema20_ema50_atr,0.012903560526217047
6,1,macd_hist_atr,-0.0015378536201575434
6,1,roc20_atr,-0.021543219035308883
6,1,atr_close,0.0005537479562315118
6,1,atr_fast_slow,0.039997272521048295
6,1,bb_width_close,-0.0032772641648604038
6,1,range_atr,-0.00814379114468444
6,1,upper_wick_ratio,0.009532650198939835
6,1,lower_wick_ratio,-0.011999444553259981
6,1,ret1_atr,-0.012918519469224881
6,1,ret2_atr,-0.009082124101578026
6,1,ret3_atr,-0.007250938969015863
6,1,ret4_atr,-0.006760387004626101
6,1,ret5_atr,-0.010208327611768145
6,1,tod_sin,0.006182108547670439
6,1,tod_cos,-0.00484003964269744
6,1,dow_sin,-0.024796873065937784
6,1,dow_cos,-0.0679154105093411
6,1,session_asia,-0.03258689878768883
6,1,session_london,0.018454273855296945
6,1,session_newyork,-0.013196584052805677
6,1,session_london_ny_overlap,-0.02033628425106056
7,2,close_ema20_atr,-0.057414463063243285
7,2,close_ema50_atr,-0.05500298183694458
7,2,close_ema200_atr,-0.03276037222100609
7,2,ema20_ema50_atr,-0.03711923554685973
7,2,macd_hist_atr,-0.007169182709134256
7,2,roc20_atr,-0.06350963468873762
7,2,atr_close,0.05810693013721865
7,2,atr_fast_slow,0.016228699044038366
7,2,bb_width_close,0.09281052848062234
7,2,range_atr,-0.043117539724181614
7,2,upper_wick_ratio,0.009098983122849551
7,2,lower_wick_ratio,-0.015484616328653288
7,2,ret1_atr,-0.04874256294580413
7,2,ret2_atr,-0.04836275807568654
7,2,ret3_atr,-0.04888719747092587
7,2,ret4_atr,-0.051041680562343296
7,2,ret5_atr,-0.04458423415132803
7,2,tod_sin,0.04577877808904634
7,2,tod_cos,0.10623086987087027
7,2,dow_sin,-0.0015879385038753526
7,2,dow_cos,0.05961932231676993
7,2,session_asia,0.10874333004932737
7,2,session_london,-0.07707064475335165
7,2,session_newyork,-0.059093580439584494
7,2,session_london_ny_overlap,-0.008697730546738275
8,2,close_ema20_atr,-0.08664546516733385
8,2,close_ema50_atr,-0.08699632314032527
8,2,close_ema200_atr,-0.09547047689666718
8,2,ema20_ema50_atr,-0.0749203071626837
8,2,macd_hist_atr,-0.07946916423259973
8,2,roc20_atr,-0.08313187201567566
8,2,atr_close,0.07043882497999482
8,2,atr_fast_slow,0.08491252496626099
8,2,bb_width_close,0.04383710684157763
8,2,range_atr,-0.03743374403830856
8,2,upper_wick_ratio,-0.002594136010135994
8,2,lower_wick_ratio,-0.016534929022103673
8,2,ret1_atr,-0.00683241904176394
8,2,ret2_atr,-0.019225138647362694
8,2,ret3_atr,-0.03289124012509017
8,2,ret4_atr,-0.031130480040880266
8,2,ret5_atr,-0.03861788618636964
8,2,tod_sin,-0.11568692082006601
8,2,tod_cos,0.08508431454843957
8,2,dow_sin,-0.027949511719221557
8,2,dow_cos,-0.07198184112405015
8,2,session_asia,-0.023550144997626334
8,2,session_london,-0.08897319958219442
8,2,session_newyork,0.07261938609274432
8,2,session_london_ny_overlap,-0.02399685619961971
9,2,close_ema20_atr,-0.010954125473561383
9,2,close_ema50_atr,-0.014161985582045213
9,2,close_ema200_atr,0.009303244121742292
9,2,ema20_ema50_atr,-0.01814497454062068
9,2,macd_hist_atr,-0.009305878706414734
9,2,roc20_atr,0.0053805640539613
9,2,atr_close,0.0264009860170776
9,2,atr_fast_slow,0.07384902987408182
9,2,bb_width_close,0.047671245453643804
9,2,range_atr,-0.011018979326839567
9,2,upper_wick_ratio,-0.008365671788325181
9,2,lower_wick_ratio,-0.041016489147692514
9,2,ret1_atr,-0.01079888153086966
9,2,ret2_atr,-0.0030946198604520293
9,2,ret3_atr,0.013758840868143801
9,2,ret4_atr,0.01899157525585062
9,2,ret5_atr,0.01131851441233401
9,2,tod_sin,-0.03304222751941006
9,2,tod_cos,0.1116891471947549
9,2,dow_sin,0.008814180720783037
9,2,dow_cos,-0.03019547998766799
9,2,session_asia,0.074481942997212
9,2,session_london,-0.08180900933748902
9,2,session_newyork,-0.023394697908096344
9,2,session_london_ny_overlap,-0.007479270974031547
10,2,close_ema20_atr,0.014966862136620702
10,2,close_ema50_atr,0.014668130866115955
10,2,close_ema200_atr,0.027584885911177404
10,2,ema20_ema50_atr,0.015378631487454494
10,2,macd_hist_atr,0.02488266845882681
10,2,roc20_atr,0.0203853307619063
10,2,atr_close,-0.04032474737227977
10,2,atr_fast_slow,0.0370131472468593
10,2,bb_width_close,-0.0020895119437636745
10,2,range_atr,0.038740381932996885
