fold,era,test_return_pct,test_profit_factor,test_sharpe_trade,test_max_dd_mtm_pct,test_n_trades,win_rate_pct,fold_metric
11,2,-2.9645833655571385,0.9018061321703297,-0.601398878972227,-7.930517297951722,112.0,39.285714285714285,-0.3738196707953496
12,2,0.4799717073397991,1.0147656717026503,0.15131593879934763,-7.93758437159422,112.0,40.17857142857143,0.06046823376863199
13,3,7.489280845742297,1.23770292554434,1.4174023064349013,-7.585925445711339,116.0,41.37931034482759,0.9872600118916698
14,3,-1.4515283549698554,0.9486776533150697,-0.28114626864407716,-9.091929364946727,107.0,41.1214953271028,-0.15965020148155984
15,3,-6.158092926768422,0.7932409213035209,-1.5115288789757353,-9.752078733261605,108.0,37.96296296296296,-0.6314646441240158
16,3,-4.296319520363346,0.8773071280036935,-0.8297071375914231,-13.562188909883776,127.0,37.00787401574803,-0.3167865857724705
17,3,3.412295513233854,1.0919218522439134,0.6726797737616943,-8.576470093226717,131.0,39.69465648854962,0.39786712670154595
18,3,-5.840445974519937,0.8286854188088878,-1.2521031278508032,-10.382921531685884,121.0,38.01652892561984,-0.5625050672584269
19,4,14.519291415127821,1.4739093490771644,2.6890454391117604,-5.838426799928476,122.0,45.90163934426229,2.4868499533651245
20,4,6.104994062117974,1.2233940831417371,1.336591407478967,-5.378089354070237,110.0,48.18181818181818,1.1351603999471676
21,4,4.563939293777408,1.1522759805285734,0.9557047808697334,-4.046661653872619,117.0,43.58974358974359,1.1278282406955766
22,4,3.2066978960922254,1.09640250922166,0.6962412839839602,-8.273216859671495,118.0,43.22033898305085,0.38759988411805685
23,4,-3.0003778931485092,0.9099651667844842,-0.5672315904831411,-9.862475803557015,121.0,38.01652892561984,-0.3042215720383708
24,4,-3.0225088354376206,0.9174355795466445,-0.5514782060415278,-13.927984383495751,122.0,37.704918032786885,-0.2170097806125633
25,4,19.017756692932398,1.633693325691302,3.287072932743384,-4.336546890460957,120.0,50.0,4.385460868592357
