fold,era,test_return_pct,test_profit_factor,test_sharpe_trade,test_max_dd_mtm_pct,test_n_trades,win_rate_pct,fold_metric
11,2,-8.687439421096954,0.735691539146296,-1.9602921151297885,-14.567292695767797,117.0,34.18803418803419,-0.5963660923502208
12,2,-3.8645514828992034,0.8817762157195567,-0.7890359097073678,-6.246423701465186,114.0,35.08771929824561,-0.6186822520529176
13,3,12.272473470891843,1.376799207818898,2.1495114370206787,-8.009532281373454,122.0,42.62295081967213,1.5322334737862358
14,3,-9.021322837889167,0.7424252795127437,-1.990514103857618,-12.203739052884554,124.0,33.87096774193548,-0.7392261337935466
15,3,0.43111000110487296,1.016080716816756,0.14404990274715593,-7.700308149766222,105.0,40.95238095238095,0.055986071300011715
16,3,0.02189731900303915,1.0006472966302447,0.05860526105539444,-7.783822676432495,124.0,40.32258064516129,0.002813183176607923
17,3,-2.353966412993691,0.9367942893287803,-0.3801905740780836,-14.491666355098054,129.0,34.10852713178294,-0.16243586867879994
18,3,3.4633207248171205,1.1069290616921148,0.74781021863075,-5.763557416370968,120.0,44.166666666666664,0.6008998392173224
19,4,4.354045797879169,1.1281685116257647,0.8976776391323049,-7.00868239437622,122.0,40.98360655737705,0.6212359974212648
20,4,4.600185361707565,1.1528496298449307,1.0249418962953656,-4.14995594853721,118.0,48.30508474576271,1.108490166824314
21,4,1.0383941584635625,1.0345883064224464,0.26265700894271826,-6.8403160074657965,112.0,36.607142857142854,0.15180499809222517
22,4,4.09789220521275,1.132380026653113,0.9075128761182356,-6.693422804551108,114.0,43.859649122807014,0.612226707451745
23,4,-3.9399357627480813,0.872367995490414,-0.8277540309074439,-9.268775539767127,108.0,36.11111111111111,-0.42507618679986614
24,4,-2.8402105861323412,0.9116493880195713,-0.5710456477199144,-11.873149631815927,111.0,37.83783783783784,-0.23921290257486194
25,4,16.398157684303104,1.6975280159649178,3.124101872971903,-6.386177942154214,101.0,46.53465346534654,2.5677577156222497
