fold,era,test_return_pct,test_profit_factor,test_sharpe_trade,test_max_dd_mtm_pct,test_n_trades,win_rate_pct,fold_metric
11,2,-32.95670201540458,0.7921200924181051,-2.7883615943626263,-42.88172322478717,686.0,46.20991253644315,-0.7685489186767203
12,2,-14.219948659619098,0.9220961150029618,-1.0356863490823258,-27.36186552273725,686.0,47.8134110787172,-0.5196995302751766
13,3,-0.9570639028412375,0.9944308069959512,0.07421719640386147,-32.35088822598744,691.0,48.480463096960925,-0.029583852417147203
14,3,-40.874969486305304,0.745801648955688,-4.072031479839604,-41.506995019375715,684.0,46.345029239766085,-0.9847730356587997
15,3,-9.645969415657552,0.9417498597644662,-0.6298977439187603,-20.141128508246986,689.0,48.33091436865022,-0.47891901447865315
16,3,-1.2065506993168662,0.9929413766096447,0.05530139836782774,-26.188590554897473,683.0,49.04831625183016,-0.04607161644639298
17,3,2.8590234228563327,1.0161135570916697,0.3533473475414528,-24.77509925164959,690.0,49.710144927536234,0.1153990704059832
18,3,12.382205476821806,1.074358465017493,1.1071663324061707,-12.994988166149234,688.0,52.32558139534884,0.9528446904689246
19,4,-30.96218559038445,0.8084558959288402,-2.6351529000758953,-37.30389764553432,686.0,50.583090379008745,-0.8299986742562531
20,4,-23.57870105778287,0.848791453184452,-1.9691106145288033,-30.134587888634755,685.0,47.2992700729927,-0.7824464414419805
21,4,-20.631457430594192,0.8820415400931403,-1.366689953320838,-24.844870452071056,687.0,48.32605531295487,-0.8304111494722792
22,4,-25.31749989247192,0.8649047278633536,-2.156487385627509,-40.16694649197535,689.0,45.13788098693759,-0.6303068095437603
23,4,-8.774554478146634,0.9443925385221772,-0.5347715676730335,-30.82677413201955,687.0,47.01601164483261,-0.28464069709559936
24,4,-19.48480162653845,0.8863201721824023,-1.4374486318455675,-26.997239678038387,687.0,45.56040756914119,-0.7217331052696055
25,4,-9.901011504029789,0.9406475600324695,-0.5828313979165382,-29.359328489341408,692.0,47.832369942196536,-0.33723562538646773
