fold,era,test_return_pct,test_profit_factor,test_sharpe_trade,test_max_dd_mtm_pct,test_n_trades,win_rate_pct,fold_metric
11,2,10.396453054709287,1.2404143155382157,1.518025563758294,-8.547310973597765,185.0,52.972972972972975,1.2163419684651036
12,2,4.930011804190437,1.093723697064918,0.7269925669363235,-7.925881562660242,201.0,48.756218905472636,0.6220143166681044
13,3,17.96996209262096,1.4439098105746697,2.673061982564033,-4.079027562218618,203.0,54.187192118226605,4.405452480651282
14,3,2.703211963927954,1.0626972560875465,0.47893663208982984,-7.72389756989309,164.0,46.34146341463415,0.34998029679533543
15,3,-3.552398054685546,0.91761386865297,-0.5210044176157821,-12.63414253072166,183.0,46.994535519125684,-0.2811744482102684
16,3,-6.492915277432198,0.8774455280474511,-0.8318502638440665,-15.499828811973748,189.0,48.148148148148145,-0.41890238635515553
17,3,6.471370836601298,1.1468297722601015,1.0308837916514404,-8.798975432600997,206.0,45.63106796116505,0.735468678844617
18,3,-6.436109891864927,0.8359302489692125,-1.1658594021309507,-13.344299912261581,186.0,44.086021505376344,-0.4823115438188724
19,4,7.31243881408743,1.17287932572514,1.1364379109478302,-7.337571420511391,187.0,48.1283422459893,0.9965748058882663
20,4,3.903218637581518,1.100910005753388,0.8004734385490532,-7.341585531460748,181.0,51.38121546961326,0.5316588114182058
21,4,-5.855845437848295,0.8521948969916976,-0.9820555608212802,-14.593482932071423,168.0,46.42857142857143,-0.40126441817252373
22,4,14.105670881698785,1.4004834302352076,2.421181156556985,-4.523471487458397,170.0,53.529411764705884,3.1183286820327316
23,4,0.014831575919727058,1.000333666752393,0.07201103013354335,-14.1122908835558,183.0,49.18032786885246,0.001050968694034602
24,4,-10.082201976559935,0.7762839638692733,-1.731162833396948,-16.690035821038695,178.0,48.31460674157304,-0.6040851011146886
25,4,40.67772157585288,1.8927626197216052,4.29014950325221,-5.380942300457436,204.0,55.88235294117647,7.559590737926115
