fold,era,test_return_pct,test_profit_factor,test_sharpe_trade,test_max_dd_mtm_pct,test_n_trades,win_rate_pct,fold_metric
11,2,6.891214017541669,1.1147703191526068,1.279042080653795,-7.4527001098585455,260.0,54.230769230769226,0.924660044810587
12,2,-15.441732304358524,0.775389020528158,-2.984848632690324,-17.202586885112826,255.0,45.490196078431374,-0.8976401286321565
13,3,1.357167894508926,1.0220326325894318,0.3026863514591311,-8.623758365094158,256.0,52.734375,0.15737545476717538
14,3,-8.025492084300001,0.8756641210800391,-1.4851562719154106,-11.01966093584238,257.0,48.63813229571984,-0.7282884773883024
15,3,-10.913046729254216,0.8342804353182514,-2.0506536289461113,-15.13574665850519,260.0,47.30769230769231,-0.7210114555611882
16,3,-3.8546242375107953,0.9465392124590454,-0.6122563881779162,-11.20528408791247,286.0,51.048951048951054,-0.344000581089141
17,3,6.810507141865818,1.0964207400731876,1.1621977783046322,-7.670379758146117,289.0,52.94117647058824,0.8878969955344004
18,3,-10.458168301303283,0.8489890870809238,-1.9301700658485479,-15.26020507750767,256.0,46.484375,-0.6853229198549757
19,4,-1.4398056661737768,0.9771796218541128,-0.20131918450980887,-10.459756970999756,262.0,50.76335877862596,-0.13765192347830987
20,4,-5.603601805620895,0.9051689347112021,-1.0517129199715163,-8.218573154661579,229.0,48.90829694323144,-0.681821734767005
21,4,1.8834297756535223,1.0347587438161021,0.4158526574942892,-9.203101841104877,220.0,51.81818181818182,0.20465162813273916
22,4,-7.4080462717822755,0.8862474874218472,-1.3252603959363243,-11.677291423104009,254.0,47.63779527559055,-0.6343976529630105
23,4,-3.0262163596433855,0.951927630080686,-0.5161926197613946,-9.201192541441294,249.0,50.602409638554214,-0.32889392826131997
24,4,-23.125890771343116,0.6544815019824085,-4.899342350236749,-24.250694327951393,248.0,41.53225806451613,-0.9536176762035292
25,4,25.975378632680133,1.414461327307294,4.171508994397182,-5.362344494948202,271.0,60.147601476014756,4.844033921571286
