fold,era,test_return_pct,test_profit_factor,test_sharpe_trade,test_max_dd_mtm_pct,test_n_trades,win_rate_pct,fold_metric
11,2,5.948580979526441,1.1006029207647576,1.1124753987839604,-10.151626171017769,256.0,54.296875,0.5859732105294866
12,2,-6.721826004001452,0.902555649714801,-1.168931136572866,-12.670322634792452,267.0,49.43820224719101,-0.5305173512743434
13,3,-5.968013138232342,0.9115204136322325,-1.02766827598798,-14.096642134841797,274.0,49.63503649635037,-0.4233641658165936
14,3,-7.576217173479782,0.9042879203895846,-1.2547372359952123,-9.563707494375851,312.0,49.358974358974365,-0.7921841166655447
15,3,-1.6686024859355553,0.9718282832425547,-0.26304171281613803,-8.518282950056676,239.0,51.04602510460251,-0.1958848392004228
16,3,-6.403889242086969,0.9035742644135689,-1.1178469219735687,-11.002099626077044,265.0,49.81132075471698,-0.5820606483973793
17,3,-7.238810377286553,0.9005803906663494,-1.1734135757000619,-15.309506660181437,293.0,48.122866894197955,-0.47283106751663045
18,3,-3.8640192743662927,0.9421447029034834,-0.6526871321193033,-13.217654861241101,246.0,49.59349593495935,-0.29233773426002985
19,4,-10.473192693735111,0.8451160900171576,-1.934663334870345,-15.534046409332191,263.0,47.14828897338403,-0.674208922630955
20,4,-16.99973995123395,0.7497450939595187,-3.3204032067245794,-19.161210583603527,262.0,44.274809160305345,-0.8871955076669752
21,4,-2.2772616145609437,0.9645115554608178,-0.35131655966352954,-11.298935260571008,257.0,50.19455252918288,-0.20154656718033614
22,4,-6.292691071987322,0.89547139227113,-1.1851868691235683,-15.182658571538454,222.0,47.74774774774775,-0.4144656907311119
23,4,-8.16660217650953,0.8705954500816017,-1.5448788413381334,-11.297903760596261,246.0,48.3739837398374,-0.722842250169648
24,4,-18.70197635540327,0.7188767611893976,-3.754932344605696,-21.980943477304248,254.0,44.09448818897638,-0.8508268252776968
25,4,8.319492656993965,1.1369583665258947,1.5224487995572007,-4.481664934275297,251.0,54.581673306772906,1.8563397261958092
